"tm","team","division","primary","secondary","tertiary","quaternary","wordmark"
"Arizona Diamondbacks","ARI","West","#A71930","#E3D4AD","#000000","#30CED8","https://sportslogohistory.com/wp-content/uploads/2018/03/arizona_diamondbacks_2008-pres_w.png"
"Atlanta Braves","ATL","East","#CE1141","#13274F","#EAAA00","#CE1141","https://sportslogohistory.com/wp-content/uploads/2018/03/atlanta_braves_2012-pres_w.png"
"Baltimore Orioles","BAL","East","#DF4601","#000000","#FC4C02","#27251F","https://sportslogohistory.com/wp-content/uploads/2018/03/baltimore_orioles_1995-2008_w.png"
"Boston Red Sox","BOS","East","#BD3039","#0C2340",NA,NA,"https://sportslogohistory.com/wp-content/uploads/2018/03/boston_red_sox_2009-pres-w.png"
"Chicago Cubs","CHC","Central","#0E3386","#CC3433",NA,NA,"https://sportslogohistory.com/wp-content/uploads/2018/03/chicago_cubs_1937-pres_w.png"
"Chicago White Sox","CHW","Central","#27251F","#C4CED4","#002663","#CC092F","https://sportslogohistory.com/wp-content/uploads/2018/03/chicago_white_sox_1991-pres-ww.png"
"Cincinnati Reds","CIN","Central","#C6011F","#000000",NA,NA,"https://sportslogohistory.com/wp-content/uploads/2018/03/cincinnati_reds_2011-pres_w.png"
"Cleveland Indians","CLE","Central","#0C2340","#E31937",NA,NA,"https://sportslogohistory.com/wp-content/uploads/2018/03/cleveland_indians_1994-2004_w.png"
"Colorado Rockies","COL","West","#33006F","#C4CED4","#000000","#24135F","https://sportslogohistory.com/wp-content/uploads/2018/03/colorado_rockies_1993-pres.png"
"Detroit Tigers","DET","Central","#0C2340","#FA4616",NA,NA,"https://sportslogohistory.com/wp-content/uploads/2018/03/detroit_tigers_1994-pres_w.png"
"Houston Astros","HOU","West","#002D62","#EB6E1F","#F4911E","#9A3324","https://sportslogohistory.com/wp-content/uploads/2018/04/houston_astros_2013-pres-w.png"
"Kansas City Royals","KCR","Central","#004687","#BD9B60","#001489","#85714D","https://sportslogohistory.com/wp-content/uploads/2018/04/kansas_city_royals_2010-pres.png"
"Los Angeles Angels","LAA","West","#003263","#BA0021","#862633","#C4CED4","https://sportslogohistory.com/wp-content/uploads/2018/04/los_angeles_angels_2012-pres_w.png"
"Los Angeles Dodgers","LAD","West","#005A9C","#EF3E42","#A5ACAF",NA,"https://sportslogohistory.com/wp-content/uploads/2018/04/los_angeles_dodgers_2012-pres-w-150x150.png"
"Miami Marlins","MIA","East","#00A3E0","#EF3340","#41748D","#000000","https://sportslogohistory.com/wp-content/uploads/2019/01/miami_marlins_2019-pres_w-150x150.png"
"Milwaukee Brewers","MIL","Central","#ffc52f","#12284b","#ffffff","#0a2351","https://sportslogohistory.com/wp-content/uploads/2021/02/milwaukee_brewers_2020-pres_w.png"
"Minnesota Twins","MIN","Central","#002B5C","#D31145","#B9975B","#0C2340","https://sportslogohistory.com/wp-content/uploads/2018/04/minnesota_twins_2010-pres_w.png"
"New York Mets","NYM","East","#002D72","#FF5910",NA,NA,"https://sportslogohistory.com/wp-content/uploads/2018/04/new_york_mets_1962-pres_w.png"
"New York Yankees","NYY","East","#003087","#E4002C","#0C2340",NA,"https://sportslogohistory.com/wp-content/uploads/2018/04/new_york_yankees_1950-pres_ww.png"
"Oakland Athletics","OAK","West","#003831","#EFB21E","#a2aaad","#115740","https://sportslogohistory.com/wp-content/uploads/2018/04/oakland_athletics_1993-pres_w.png"
"Philadelphia Phillies","PHI","East","#E81828","#002d72","#E81828","#284898","https://sportslogohistory.com/wp-content/uploads/2018/04/philadelphia_phillies_1992-pres_w.png"
"Pittsburgh Pirates","PIT","Central","#27251F","#FDB827","#27251F","#FFC72C","https://sportslogohistory.com/wp-content/uploads/2018/04/pittsburgh_pirates_2011-pres-w.png"
"San Diego Padres","SDP","West","#2F241D","#FFC425","#002d62","#A2AAAD","https://sportslogohistory.com/wp-content/uploads/2019/11/san_diego_padres_2020-presw.png"
"San Francisco Giants","SFG","West","#FD5A1E","#27251F","#EFD19F","#AE8F6F","https://sportslogohistory.com/wp-content/uploads/2018/04/san_francisco_giants_2000-pres-w.png"
"Seattle Mariners","SEA","West","#0C2C56","#005C5C","#C4CED4","#D50032","https://sportslogohistory.com/wp-content/uploads/2018/04/seattle_mariners_1993-pres_w.png"
"St. Louis Cardinals","STL","Central","#C41E3A","#0C2340","#FEDB00",NA,"https://sportslogohistory.com/wp-content/uploads/2018/04/st_louis_cardinals_1998-pres_w.png"
"Tampa Bay Rays","TBR","East","#092C5C","#8FBCE6","#F5D130","#FFFFFF","https://sportslogohistory.com/wp-content/uploads/2018/04/tampa_bay-rays_2008-pres_w.png"
"Texas Rangers","TEX","West","#003278","#C0111F","#002D72","#BA0C2F","https://sportslogohistory.com/wp-content/uploads/2018/04/texas_rangers_2001-pres_w.png"
"Toronto Blue Jays","TOR","East","#134A8E","#1D2D5C","#E8291C","#006BA6","https://sportslogohistory.com/wp-content/uploads/2020/01/toronto_blue_jays_2020-pres_w.png"
"Washington Nationals","WSN","East","#AB0003","#14225A","#FFFFFF",NA,"https://sportslogohistory.com/wp-content/uploads/2018/04/washington_nationals_2011-pres-w.png"
